hash,author,date,category,summary
22c48a738b5fb5b5cf09fb77270139f116069748,David Lord,2024-11-13 08:43:48-08:00,refactor/others,Merge remote-tracking branch 'origin/stable'
2eab96a32a92ceb4b6947102626f896816a0291d,David Lord,2024-11-13 08:27:11-08:00,refactor/others,use generic bases for session (#5638)
f49dbfd3e451006a485e81ebce030495131c4454,David Lord,2024-11-13 08:22:57-08:00,refactor/others,use generic bases for session
7b21d43d4c763b874bc86d4c2d69a48ee492dc22,David Lord,2024-11-12 21:03:23-08:00,refactor/others,configure and check `request.trusted_hosts` (#5637
4f7156f2c3271613b34d04040b502b9d7ae35eb9,David Lord,2024-11-12 20:32:53-08:00,refactor/others,configure and check trusted_hosts
10bdf61a0f751f3cb000f8f8ac5ac5b4bb535677,David Lord,2024-11-12 10:13:39-08:00,refactor/others,setting `SERVER_NAME` does not restrict routing fo
4995a775df21a206b529403bc30d71795a994fd4,David Lord,2024-11-10 20:13:05-08:00,bugfix,fix subdomain_matching=False behavior
07c7d5730a2685ef2281cc635e289685e5c3d478,David Lord,2024-11-08 09:55:00-08:00,refactor/others,update min blinker version (#5633)
470e2b8d17fd0032271b21f1d6775d48c3855a79,David Lord,2024-11-08 09:48:59-08:00,refactor/others,update min blinker version
a20bcff8dc4e263312cfd74c11e432bfe8c194c1,David Lord,2024-11-08 08:16:04-08:00,refactor/others,enable secret key rotation (#5632)
e13373f838ab34027c5a80e16a6cb8262d41eab7,David Lord,2024-11-08 08:09:01-08:00,refactor/others,enable secret key rotation
7522c4bcdb10449dc919e0ffbdebb92fe66822b5,David Lord,2024-11-07 11:56:26-08:00,refactor/others,update env file precedence (#5630)
2c3160304278d323da8485057770926d1b582579,David Lord,2024-11-07 11:27:51-08:00,refactor/others,update env file precedence
6c44dd4bb8e4f2ca5f135f172de4725b2cada155,David,2024-11-06 17:47:57+00:00,documentation,update helpers.send_from_directory docstring (#559
98ae71897600a3162f529b1b30c70b8abdf0961b,David Lord,2024-11-01 18:06:34-07:00,bugfix,fix mypy finding
c62b03bcfd6e6440f8195e02f4678488e16121ac,David Lord,2024-11-01 18:06:11-07:00,bugfix,fix example and tutorial compatibility and update 
a9b99b3489cc24b5bed99fbadbd91f598a5a1420,David Lord,2024-11-01 18:00:39-07:00,refactor/others,update example project metadata
8aa161a43731795841fa2678d3dff0559cee527e,David Lord,2024-11-01 17:18:52-07:00,feature,add sqlite datetime converter
df201ed152b61c439ea1ace179f35b424594ba6c,David Lord,2024-11-01 16:44:17-07:00,bugfix,fix js example test
ce08bc704e24c01582052f5c544fae181d08386f,David Lord,2024-11-01 16:26:37-07:00,feature,add SESSION_COOKIE_PARTITIONED config (#5499)
9efc1ebeeb431769897798cdf8de2c67dcbbc9c0,David Lord,2024-06-09 19:55:22-06:00,feature,add SESSION_COOKIE_PARTITIONED config
6f2014d353d514e404c1f40e8f0a24e2bf62b941,David Lord,2024-11-01 13:21:35-07:00,feature,add config and docs for limits (#5626)
c7a53888a1a514619b0611fd8b7928592f4ed612,David Lord,2024-11-01 13:13:05-07:00,feature,add config and docs for limits
62c56e08c43f5eb174d15dd050591cfba9aed548,David Lord,2024-10-31 13:15:29-07:00,refactor/others,update minimum dependencies (#5624)
8f37c82f6144fffc2ed30e49ee81a54702a0f317,David Lord,2024-10-31 13:11:06-07:00,refactor/others,update min dependencies
39e7208366bcf549fd7a2678a6d815dfe39196c5,David Lord,2024-10-31 13:04:44-07:00,refactor/others,update dev dependencies
227838c4727ba780e6fb4a7c372ae62357cac4c6,David Lord,2024-10-31 12:59:47-07:00,refactor/others,no need for separate requirements-skip folder anym
99ce7ed0e40686ec2583f90bd1cca37a207b4ea7,David Lord,2024-10-31 12:32:10-07:00,refactor/others,drop support for Python 3.8 (#5623)
1d610e44b396d11113bb6a5d168cc5e996a6dfb9,David Lord,2024-10-31 12:28:46-07:00,refactor/others,drop support for Python 3.8
e8b91cd38aadafdf733558bbcea4810fa65bb849,David Lord,2024-10-24 14:54:53-07:00,bugfix,fix pyright type errors (#5620)
9e831e915fa875423af0c0de8f53a3780055919e,bre-17387639,2024-08-06 16:46:15-06:00,bugfix,fix pyright type errors
5e8cb740187c0561b36323dfc8510e58c3066838,David Lord,2024-10-24 13:29:34-07:00,refactor/others,update test workflow trigger
2778b7c23f37d4f3cfed4cadac4bc9c90e098c50,David Lord,2024-10-24 13:28:57-07:00,refactor/others,Merge branch 'stable'
96800fb673cb7b2d75476096798e701e3e6d26bc,David Lord,2024-10-24 13:28:46-07:00,refactor/others,update test workflow trigger
8f2bc008ad724a52f3669ecb2de59c98deb69ce1,David Lord,2024-10-24 13:27:52-07:00,refactor/others,update dev dependencies
9b5549313e98044b89edb7078641d1d729b4a6c2,David Lord,2024-10-23 13:45:17-07:00,refactor/others,Merge branch '3.0.x'
68150d4cafc796dba2b595c320a09222394bfc1a,David Lord,2024-10-22 14:16:56-07:00,bugfix,Fix the issue link in the Flask 3.0.1 Changelog in
74721b48f0347f19f134f386fab3421e5132fb53,Catarina Bressan,2024-10-22 17:32:02-03:00,bugfix,Fix the issue link in the Flask 3.0.1 Changelog in
d273f87a41e72db8ef1387f469ffa1c6eed39730,David Lord,2024-10-18 13:22:45-07:00,refactor/others,use python 3.9 to test dev versions (#5615)
52ccd66735ba1f6e67d06e747d6a641980b788a3,David Lord,2024-10-18 13:19:51-07:00,refactor/others,use python 3.9 to test dev versions
dffe3034825edc4f84aded013fc9c6590e545ed5,David Lord,2024-10-18 13:04:35-07:00,bugfix,fix mypy findings
52c060f718e0f07e9d982d2d97973ead0f4d55ca,David Lord,2024-10-18 12:59:21-07:00,bugfix,Fix typo in the changelog (#5609)
c5a5576522273ff028018c4e13d1fc4d0260495b,David Lord,2024-10-18 10:03:49-07:00,refactor/others,update CHANGES.rst
bca18041b055102857a7e8a12f8694fddda9571b,David Lord,2024-10-18 10:03:09-07:00,refactor/others,Merge branch '3.0.x'
